offical test report
start time: 2018-10-26 18:23:00
end time:   2018-10-26 18:27:28

用例名称                                                        是否通过                                                        说明                                                          


aborted-keyrevoke                                           ok                                                                                                                      
alter-table-1                                               ok                                                                                                                      
alter-table-2                                               ok                                                                                                                      
alter-table-3                                               ok                                                                                                                      
alter-table-4                                               ok                                                                                                                      
async-notify                                                ok                                                                                                                      
classroom-scheduling                                        ok                                                                                                                      
create-trigger                                              ok                                                                                                                      
deadlock-hard                                               ok                                                                                                                      
deadlock-simple                                             ok                                                                                                                      
deadlock-soft-2                                             ok                                                                                                                      
deadlock-soft                                               ok                                                                                                                      
delete-abort-savept-2                                       ok                                                                                                                      
delete-abort-savept                                         ok                                                                                                                      
drop-index-concurrently-1                                   ok                                                                                                                      
eval-plan-qual                                              ok                                                                                                                      
fk-contention                                               ok                                                                                                                      
fk-deadlock2                                                ok                                                                                                                      
fk-deadlock                                                 ok                                                                                                                      
freeze-the-dead                                             ok                                                                                                                      
index-only-scan                                             ok                                                                                                                      
insert-conflict-do-nothing-2                                ok                                                                                                                      
insert-conflict-do-nothing                                  ok                                                                                                                      
insert-conflict-do-update-2                                 ok                                                                                                                      
insert-conflict-do-update-3                                 ok                                                                                                                      
insert-conflict-do-update                                   ok                                                                                                                      
insert-conflict-toast                                       ok                                                                                                                      
lock-committed-keyupdate                                    ok                                                                                                                      
lock-committed-update                                       ok                                                                                                                      
lock-update-delete                                          ok                                                                                                                      
lock-update-traversal                                       ok                                                                                                                      
multiple-cic                                                ok                                                                                                                      
multiple-row-versions                                       ok                                                                                                                      
multixact-no-deadlock                                       ok                                                                                                                      
multixact-no-forget                                         ok                                                                                                                      
nowait-2                                                    ok                                                                                                                      
nowait-3                                                    ok                                                                                                                      
nowait-4                                                    ok                                                                                                                      
nowait-5                                                    ok                                                                                                                      
nowait                                                      ok                                                                                                                      
partial-index                                               ok                                                                                                                      
partition-key-update-1                                      ok                                                                                                                      
partition-key-update-2                                      ok                                                                                                                      
partition-key-update-3                                      ok                                                                                                                      
plpgsql-toast                                               ok                                                                                                                      
predicate-gin-fastupdate                                    ok                                                                                                                      
predicate-gin-nomatch                                       ok                                                                                                                      
predicate-gin                                               ok                                                                                                                      
predicate-gist                                              ok                                                                                                                      
predicate-hash                                              ok                                                                                                                      
prepared-transactions                                       ok                                                                                                                      
project-manager                                             ok                                                                                                                      
propagate-lock-delete                                       ok                                                                                                                      
read-only-anomaly-2                                         ok                                                                                                                      
read-only-anomaly-3                                         ok                                                                                                                      
read-only-anomaly                                           ok                                                                                                                      
read-write-unique-2                                         ok                                                                                                                      
read-write-unique-3                                         ok                                                                                                                      
read-write-unique-4                                         ok                                                                                                                      
read-write-unique                                           ok                                                                                                                      
receipt-report                                              ok                                                                                                                      
referential-integrity                                       ok                                                                                                                      
ri-trigger                                                  fail                                                        目标结果比对错误                                                    
sequence-ddl                                                ok                                                                                                                      
simple-write-skew                                           ok                                                                                                                      
skip-locked-2                                               ok                                                                                                                      
skip-locked-3                                               ok                                                                                                                      
skip-locked-4                                               ok                                                                                                                      
skip-locked                                                 ok                                                                                                                      
temporal-range-integrity                                    ok                                                                                                                      
timeouts                                                    ok                                                                                                                      
total-cash                                                  ok                                                                                                                      
tuplelock-conflict                                          ok                                                                                                                      
tuplelock-update                                            ok                                                                                                                      
two-ids                                                     ok                                                                                                                      
update-locked-tuple                                         ok                                                                                                                      
vacuum-concurrent-drop                                      fail                                                        目标结果比对错误                                                    
vacuum-reltuples                                            ok                                                                                                                      
